prod,htc,nhtc,rat,dur,fem,mle,pair,fam
3,2,1,0.666666667,11,drace,mrace,dm,dm71
8,0,8,0,na,drace,mrace,dm,dm61
9,0,9,0,na,drace,mrace,dm,dm61
17,0,17,0,na,drace,mrace,dm,dm61
11,0,11,0,na,drace,mrace,dm,dm11
10,0,10,0,na,drace,mrace,dm,dm91
10,0,10,0,na,drace,mrace,dm,dm91
20,3,17,0.15,9,drace,mrace,dm,dm91
13,0,13,0,na,drace,mrace,dm,dm91
10,0,10,0,na,drace,mrace,dm,dm91
9,0,9,0,na,drace,mrace,dm,dm91
10,1,9,0.1,15,drace,mrace,dm,dm91
12,0,12,0,na,drace,mrace,dm,dm72
2,0,2,0,na,drace,mrace,dm,dm72
18,0,18,0,na,drace,mrace,dm,dm72
12,0,12,0,na,drace,mrace,dm,dm72
15,0,15,0,na,drace,mrace,dm,dm72
15,5,10,0.333333333,na,drace,mrace,dm,dm72
13,0,13,0,na,drace,mrace,dm,dm62
16,0,16,0,na,drace,mrace,dm,dm62
8,0,8,0,na,drace,mrace,dm,dm62
7,2,5,0.285714286,15,drace,mrace,dm,dm62
9,0,9,0,na,drace,mrace,dm,dmn1
15,0,15,0,na,drace,mrace,dm,dmn1
3,0,3,0,na,drace,mrace,dm,dmn1
14,1,13,0.071428571,16,drace,mrace,dm,dmn1
13,0,13,0,na,drace,mrace,dm,dmn1
9,1,8,0.111111111,21,drace,mrace,dm,dmn1
6,1,5,0.166666667,14,drace,mrace,dm,dmn1
6,0,6,0,na,drace,mrace,dm,owm22
10,0,10,0,na,drace,mrace,dm,owm22
8,0,8,0,na,drace,mrace,dm,dmn6
12,0,12,0,na,drace,mrace,dm,dmn6
4,2,2,0.5,15,drace,mrace,dm,dmn6
10,2,8,0.2,17,drace,mrace,dm,dm2
4,1,3,0.25,18,drace,mrace,dm,dm2
4,na,na,na,na,drace,mrace,dm,dm2
2,0,2,0,na,drace,mrace,dm,dmn2
15,0,15,0,na,drace,mrace,dm,dmn2
6,0,6,0,na,drace,mrace,dm,dmn3
6,0,6,0,na,drace,mrace,dm,dmn4
12,2,10,0.166666667,10,drace,mrace,dm,dm4
5,0,5,0,na,drace,mrace,dm,dmn9
8,0,8,0,na,drace,mrace,dm,dmn7
5,1,4,0.2,18,drace,mrace,dm,dmn7
7,2,5,0.285714286,10,drace,mrace,dm,dmn5
9,0,9,0,na,drace,mrace,dm,dmn5
19,16,3,0.842105263,12,drace,mrace,dm,dmn5
10,6,4,0.6,18,drace,mrace,dm,dmn5
12,2,10,0.166666667,10,drace,mrace,dm,dmn8
16,8,8,0.5,10,drace,mrace,dm,dmn8
